Id,LotArea,OverallQual,OverallCond,TotRmsAbvGrd,GarageArea,MSSubClass,SalePrice
1,8450,7,5,8,548,60,208500
2,9600,6,8,6,460,20,181500
3,11250,7,5,6,608,60,223500
4,9550,7,5,7,642,70,140000
5,14260,8,5,9,836,60,250000
6,14115,5,5,5,480,50,143000
7,10084,8,5,7,636,20,307000
8,10382,7,6,7,484,60,200000
9,6120,7,5,8,468,50,129900
10,7420,5,6,5,205,190,118000
11,11200,5,5,5,384,20,129500
12,11924,9,5,11,736,60,345000
13,12968,5,6,4,352,20,144000
14,10652,7,5,7,840,20,279500
15,10920,6,5,5,352,20,157000
16,6120,7,8,5,576,45,132000
17,11241,6,7,5,480,20,149000
18,10791,4,5,6,516,90,90000
19,13695,5,5,6,576,20,159000
20,7560,5,6,6,294,20,139000
21,14215,8,5,9,853,60,325300
22,7449,7,7,6,280,45,139400
23,9742,8,5,7,534,20,230000
24,4224,5,7,6,572,120,129900
25,8246,5,8,6,270,20,154000
26,14230,8,5,7,890,20,256300
27,7200,5,7,5,576,20,134800
28,11478,8,5,7,772,20,306000
29,16321,5,6,6,319,20,207500
30,6324,4,6,4,240,30,68500
31,8500,4,4,6,250,70,40000
32,8544,5,6,6,271,20,149350
33,11049,8,5,7,484,20,179900
34,10552,5,5,6,447,20,165500
35,7313,9,5,6,556,120,277500
36,13418,8,5,9,691,60,309000
37,10859,5,5,6,672,20,145000
38,8532,5,6,5,498,20,153000
39,7922,5,7,5,246,20,109000
40,6040,4,5,6,0,90,82000
41,8658,6,5,6,440,20,160000
42,16905,5,6,5,308,20,170000
43,9180,5,7,5,504,85,144000
44,9200,5,6,5,308,20,130250
45,7945,5,6,6,300,20,141000
46,7658,9,5,6,576,120,319900
47,12822,7,5,6,670,50,239686
48,11096,8,5,7,826,20,249700
49,4456,4,5,8,0,190,113000
50,7742,5,7,6,386,20,127000
51,13869,6,6,6,388,60,177000
52,6240,6,6,6,528,50,114500
53,8472,5,5,5,516,90,110000
54,50271,9,5,5,894,20,385000
55,7134,5,5,6,572,80,130000
56,10175,6,5,7,576,20,180500
57,2645,8,5,7,480,160,172500
58,11645,7,5,7,565,60,196500
59,13682,10,5,10,641,60,438780
60,7200,5,7,4,352,20,124900
61,13072,6,5,5,576,20,158000
62,7200,5,7,6,288,75,101000
63,6442,8,5,6,484,120,202500
64,10300,7,6,9,480,70,140000
65,9375,7,5,8,645,60,219500
66,9591,8,5,9,852,60,317000
67,19900,7,5,7,576,20,180000
68,10665,7,5,7,558,20,226000
69,4608,4,6,4,220,30,80000
70,15593,7,4,7,667,50,225000
71,13651,7,6,8,516,20,244000
72,7599,4,6,4,360,20,129500
73,10141,7,5,7,427,60,185000
74,10200,5,7,6,490,20,144900
75,5790,3,6,8,379,50,107400
76,1596,4,5,5,297,180,91000
77,8475,4,7,4,283,20,135750
78,8635,5,5,6,240,50,127000
79,10778,4,5,8,0,90,136500
80,10440,5,6,5,440,50,110000
81,13000,6,6,8,509,60,193500
82,4500,6,5,5,405,120,153500
83,10206,8,5,6,758,20,245000
84,8892,5,5,6,461,20,126500
85,8530,7,5,7,400,80,168500
86,16059,8,5,9,462,60,260000
87,11911,6,5,6,400,60,174000
88,3951,6,5,4,528,160,164500
89,8470,3,2,6,0,50,85000
90,8070,4,5,5,0,20,123600
91,7200,4,5,4,420,20,109900
92,8500,5,3,6,480,20,98600
93,13360,5,7,5,432,30,163500
94,7200,6,6,9,506,190,133900
95,9337,6,5,7,684,60,204750
96,9765,6,8,6,420,60,185000
97,10264,7,5,6,472,20,214000
98,10921,4,5,6,432,20,94750
99,10625,5,5,5,366,30,83000
100,9320,4,5,6,0,20,128950
101,10603,6,7,6,480,20,205000
102,9206,6,5,7,476,60,178000
103,7018,5,5,8,410,90,118964
104,10402,7,5,6,740,20,198900
105,7758,7,4,7,240,50,169500
106,9375,8,5,9,648,60,250000
107,10800,4,7,6,273,30,100000
108,6000,5,5,5,250,20,115000
109,8500,5,7,7,0,50,115000
110,11751,6,6,7,546,20,190000
111,9525,6,4,7,325,50,136900
112,7750,7,5,7,400,80,180000
113,9965,7,5,10,792,60,383970
114,21000,6,5,7,450,20,217000
115,7259,6,8,9,180,70,259500
116,3230,6,5,5,440,160,176000
117,11616,5,5,6,288,20,139000
118,8536,5,5,5,430,20,155000
119,12376,7,5,11,594,60,320000
120,8461,6,5,8,390,60,163990
121,21453,6,5,4,540,80,180000
122,6060,4,5,4,264,50,100000
123,9464,6,7,5,288,20,136000
124,7892,6,5,5,530,120,153900
125,17043,6,5,7,435,20,181000
126,6780,6,8,5,0,190,84500
127,4928,6,5,5,440,120,128000
128,4388,5,7,5,0,45,87000
129,7590,6,5,6,453,60,155000
130,8973,5,7,6,750,20,150000
131,14200,7,6,8,487,60,226000
132,12224,6,5,7,390,60,244000
133,7388,5,6,7,624,20,150750
134,6853,8,5,6,471,20,220000
135,10335,5,6,7,440,20,180000
136,10400,7,6,7,530,20,174000
137,10355,5,5,5,318,20,143000
138,11070,7,5,9,766,90,171000
139,9066,8,5,7,660,60,230000
140,15426,6,5,7,470,60,231500
141,10500,4,5,5,0,20,115000
142,11645,7,5,7,660,20,260000
143,8520,5,4,6,720,50,166000
144,10335,7,5,6,577,20,204000
145,9100,5,5,10,504,90,125000
146,2522,6,5,7,380,160,130000
147,6120,5,7,5,180,30,105000
148,9505,7,5,8,434,60,222500
149,7500,7,5,6,0,20,141000
150,6240,5,4,7,240,50,115000
151,10356,5,6,5,440,20,122000
152,13891,8,5,6,866,20,372402
153,14803,6,5,8,495,60,190000
154,13500,6,7,4,564,20,235000
155,11340,6,5,7,312,30,125000
156,9600,6,5,5,0,50,79000
157,7200,5,7,5,625,20,109500
158,12003,8,5,8,680,60,269500
159,12552,7,5,8,678,60,254900
160,19378,7,5,9,576,60,320000
161,11120,6,6,6,516,20,162500
162,13688,9,5,10,726,60,412500
163,12182,7,5,7,532,20,220000
164,5500,4,6,4,0,45,103200
165,5400,6,7,5,216,40,152000
166,10106,5,7,6,0,190,127500
167,10708,5,5,7,303,20,190000
168,10562,8,5,8,789,60,325624
169,8244,7,5,7,440,60,183500
170,16669,8,6,6,511,20,228000
171,12358,5,6,7,660,50,128500
172,31770,6,5,7,528,20,215000
173,5306,7,7,5,504,160,239000
174,10197,6,5,6,504,20,163000
175,12416,6,5,7,616,20,184000
176,12615,6,7,7,576,20,243000
177,10029,6,5,8,521,60,211000
178,13650,5,5,8,451,50,172500
179,17423,9,5,9,1166,20,501837
180,8520,5,6,5,480,30,100000
181,2117,6,5,5,440,160,177000
182,7588,7,6,9,216,70,200100
183,9060,5,6,7,252,20,120000
184,11426,7,5,6,484,50,200000
185,7438,5,8,5,576,50,127000
186,22950,10,9,12,840,75,475000
187,9947,7,5,6,497,80,173000
188,10410,5,7,8,180,50,135000
189,7018,5,5,6,528,90,153337
190,4923,8,5,5,682,120,286000
191,10570,8,8,10,440,70,315000
192,7472,7,9,7,484,60,184000
193,9017,7,5,6,666,20,192000
194,2522,7,5,7,380,160,130000
195,7180,5,7,5,352,20,127000
196,2280,6,6,7,440,160,148500
197,9416,7,5,8,786,20,311872
198,25419,8,4,8,795,75,235000
199,5520,6,6,8,0,75,104000
200,9591,8,5,7,856,20,274900
201,8546,4,5,5,440,20,140000
202,10125,6,6,6,473,20,171500
203,7000,6,6,6,398,50,112000
204,4438,6,5,3,420,120,149000
205,3500,5,7,5,240,50,110000
206,11851,7,5,5,500,20,180500
207,13673,5,5,8,349,20,143900
208,12493,4,5,6,312,20,141000
209,14364,7,5,7,454,60,277000
210,8250,6,7,6,504,20,145000
211,5604,5,6,5,0,30,98000
212,10420,6,5,6,460,20,186000
213,8640,7,5,7,644,60,252678
214,13568,5,5,5,576,20,156000
215,10900,6,7,6,299,60,161750
216,10011,5,6,6,447,20,134450
217,8450,7,5,8,484,20,210000
218,9906,4,4,8,210,70,107000
219,15660,7,9,8,431,50,311500
220,3010,7,5,5,438,120,167240
221,8990,7,5,5,675,20,204900
222,8068,6,5,8,390,60,200000
223,11475,6,6,6,434,60,179900
224,10500,4,6,4,576,20,97000
225,13472,10,5,8,968,20,386250
226,1680,5,5,6,280,160,112000
227,9950,7,5,9,721,60,290000
228,1869,6,6,5,280,160,106000
229,8521,5,5,5,336,20,125000
230,3182,7,5,7,430,120,192500
231,8760,6,6,6,312,20,148000
232,15138,8,5,9,810,60,403000
233,1680,6,5,5,288,160,94500
234,10650,5,6,5,308,20,128200
235,7851,6,5,8,440,60,216500
236,1680,6,3,5,264,160,89500
237,8773,7,5,6,494,20,185500
238,9453,7,7,7,457,60,194500
239,12030,8,5,7,818,20,318000
240,8741,6,4,7,220,50,113000
241,9000,8,5,7,750,20,262500
242,3880,5,9,4,0,30,110500
243,5000,5,4,6,352,50,79000
